Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.884354,12.188209,10.487528,10.657596,6.485762,30476630
2000-02-01,10.657596,11.054422,9.126984,9.126984,5.554293,25707988
2000-03-01,9.013605,9.863946,7.993197,9.353741,5.716105,41544408
2000-04-01,9.580499,10.260771,8.616780,9.013605,5.508248,29958348
2000-05-01,9.183673,11.054422,8.956916,10.827664,6.616826,35248802
2000-06-01,10.884354,11.337868,8.843537,8.900227,5.465461,34136601
2000-07-01,8.843537,9.750567,8.446712,8.503401,5.221778,30614663
2000-08-01,8.616780,9.183673,8.095238,8.407738,5.163031,44182086
2000-09-01,8.392857,8.690476,7.797619,8.214286,5.070072,54500880
2000-10-01,8.392857,10.476190,8.214286,10.476190,6.466177,42617505
2000-11-01,10.416667,12.261905,10.238095,12.142857,7.494890,32003685
2000-12-01,12.142857,14.464286,11.607143,14.285714,8.858008,35695170
2001-01-01,14.285714,14.285714,12.738095,14.219048,8.816671,42096495
2001-02-01,14.171429,15.228571,13.761905,14.333333,8.917360,36589245
2001-03-01,14.428571,14.771429,11.952381,12.523810,7.791583,32716950
2001-04-01,12.514286,12.704762,10.238095,11.342857,7.056861,42603225
2001-05-01,11.438095,12.904762,10.923810,12.857143,7.998959,37738050
2001-06-01,12.714286,13.523810,12.380952,12.428571,7.762182,30970905
2001-07-01,12.666667,13.504762,12.323810,12.752381,7.964414,29535870
2001-08-01,12.714286,14.100000,12.380952,13.430000,8.387623,32177050
2001-09-01,13.650000,14.060000,11.600000,12.590000,7.892904,23129300
2001-10-01,12.350000,14.150000,11.800000,13.930000,8.732973,37037000
2001-11-01,13.730000,15.640000,13.730000,15.390000,9.648273,32108900
2001-12-01,15.240000,15.800000,14.160000,14.350000,9.026526,30206300
2002-01-01,14.220000,14.380000,13.120000,13.940000,8.768622,32616600
2002-02-01,13.940000,14.230000,12.950000,13.850000,8.712014,21495200
2002-03-01,13.900000,14.850000,13.300000,13.930000,8.795104,27067300
2002-04-01,13.930000,14.560000,12.990000,13.270000,8.378394,27512200
2002-05-01,13.350000,14.630000,13.200000,14.550000,9.186563,30202700
2002-06-01,14.550000,14.670000,12.470000,12.790000,8.105244,33746900
2002-07-01,12.600000,12.790000,10.000000,11.700000,7.414489,40969700
2002-08-01,11.600000,12.590000,10.920000,12.190000,7.725009,32927000
2002-09-01,11.950000,12.890000,11.850000,12.510000,7.967607,28091000
2002-10-01,12.540000,13.720000,11.950000,13.620000,8.674565,34669800
2002-11-01,13.670000,14.450000,13.160000,13.330000,8.489859,30106900
2002-12-01,13.330000,13.330000,12.120000,12.400000,7.932161,28710400
2003-01-01,12.500000,12.940000,11.780000,12.050000,7.708269,26032300
2003-02-01,12.030000,12.330000,10.510000,10.900000,6.972623,26944700
2003-03-01,11.350000,11.370000,10.500000,10.800000,6.943114,35543900
2003-04-01,10.840000,11.810000,10.680000,11.080000,7.123117,31766200
2003-05-01,11.130000,12.050000,10.770000,11.970000,7.695283,39238300
2003-06-01,12.200000,13.170000,12.030000,12.870000,8.319715,32781900
2003-07-01,12.820000,13.340000,11.950000,13.140000,8.494253,35624100
2003-08-01,13.140000,13.950000,12.780000,13.870000,8.966157,25810000
2003-09-01,13.870000,14.140000,12.850000,13.110000,8.512391,37037500
2003-10-01,13.150000,14.940000,13.110000,14.350000,9.317522,26814400
2003-11-01,14.350000,14.650000,14.050000,14.290000,9.278568,34181800
2003-12-01,14.300000,15.240000,14.050000,15.220000,9.924060,42768200
2004-01-01,15.230000,16.360001,14.900000,15.660000,10.210959,71075700
2004-02-01,15.980000,17.830000,15.750000,17.200001,11.215099,75532400
2004-03-01,17.250000,17.520000,16.070000,16.870001,11.049109,57214600
2004-04-01,16.790001,17.950001,16.540001,17.559999,11.501029,44971800
2004-05-01,17.670000,17.900000,15.820000,16.629999,10.891917,46354600
2004-06-01,16.629999,17.129999,16.049999,16.780001,11.039092,53383700
2004-07-01,16.730000,17.000000,14.950000,15.430000,10.150966,44953500
2004-08-01,15.520000,16.180000,15.420000,15.970000,10.506220,38196100
2004-09-01,15.980000,17.000000,15.850000,16.980000,11.223377,32571900
2004-10-01,17.000000,19.580000,16.719999,19.370001,12.803108,49675200
2004-11-01,19.170000,21.350000,18.629999,21.200001,14.012696,69793800
2004-12-01,21.250000,22.549999,20.850000,22.309999,14.800266,46377800
2005-01-01,22.469999,24.290001,21.350000,24.200001,16.054077,55773100
2005-02-01,24.230000,25.180000,21.430000,24.100000,15.987742,58145000
2005-03-01,24.049999,25.370001,23.700001,24.580000,16.362700,65333500
2005-04-01,24.719999,25.299999,17.500000,17.990000,11.975792,110106900
2005-05-01,18.030001,20.120001,18.000000,19.850000,13.213980,84947900
2005-06-01,19.900000,21.780001,19.850000,21.379999,14.294698,55816600
2005-07-01,21.530001,23.900000,20.440001,22.940001,15.337726,49953000
2005-08-01,22.799999,22.809999,19.750000,22.510000,15.050224,66377000
2005-09-01,22.590000,24.750000,21.600000,24.660000,16.555828,68790100
2005-10-01,24.660000,25.340000,23.000000,24.370001,16.361134,66633200
2005-11-01,24.600000,25.010000,23.540001,23.570000,15.824039,45385200
2005-12-01,23.590000,25.549999,23.370001,24.660000,16.614845,48621900
2006-01-01,24.750000,32.220001,24.049999,31.500000,21.223343,97036000
2006-02-01,30.610001,32.070000,29.500000,31.719999,21.371571,89814300
2006-03-01,31.719999,35.500000,30.750000,33.650002,22.745529,90947100
2006-04-01,34.750000,39.009998,34.599998,36.340000,24.563822,86939500
2006-05-01,36.849998,46.709999,36.849998,41.570000,28.099007,216657000
2006-06-01,42.220001,43.740002,37.450001,41.279999,27.966356,108431500
2006-07-01,41.700001,44.500000,39.119999,44.000000,29.809093,75794800
2006-08-01,44.500000,45.049999,39.689999,41.169998,27.891836,83507800
2006-09-01,41.419998,42.439999,36.439999,37.880001,25.725651,88849400
2006-10-01,37.880001,40.000000,35.770000,38.500000,26.146702,91500300
2006-11-01,38.369999,38.599998,32.169998,35.099998,23.837648,155266300
2006-12-01,35.230000,35.230000,31.200001,31.959999,21.765669,127115100
2007-01-01,32.279999,33.000000,30.200001,32.000000,21.792915,139730300
2007-02-01,34.310001,36.549999,32.990002,34.349998,23.393333,215155800
2007-03-01,33.730000,37.840000,32.830002,36.700001,25.076262,164761800
2007-04-01,36.669998,39.650002,36.529999,38.700001,26.442812,115721600
2007-05-01,36.980000,37.360001,34.860001,35.040001,23.942007,161809500
2007-06-01,35.049999,35.189999,32.049999,33.090000,22.682615,149447200
2007-07-01,33.840000,37.020000,33.580002,33.599998,23.032211,131722300
2007-08-01,33.939999,35.939999,31.280001,33.700001,23.100758,125526700
