Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,20.000000,20.093750,16.312500,17.468750,12.489683,121390800
2000-02-01,17.406250,20.750000,17.031250,17.500000,12.532322,119131200
2000-03-01,17.593750,19.000000,13.875000,18.781250,13.449862,146200800
2000-04-01,18.781250,23.406250,18.750000,21.750000,15.575884,86678200
2000-05-01,21.750000,22.812500,19.718750,21.750000,15.596683,81468800
2000-06-01,21.625000,22.906250,17.906250,20.000000,14.341784,93200200
2000-07-01,19.687500,22.500000,19.468750,19.750000,14.162501,57640800
2000-08-01,18.781250,19.906250,16.625000,18.570313,13.334766,105644400
2000-09-01,18.375000,23.468750,18.218750,23.156250,16.627779,86825200
2000-10-01,23.093750,27.062500,21.781250,26.468750,19.006386,102452000
2000-11-01,26.312500,29.562500,24.937500,28.437500,20.445858,125195200
2000-12-01,28.562500,30.218750,25.406250,29.968750,21.546791,84295800
2001-01-01,29.906250,29.906250,24.750000,29.600000,21.281673,111440400
2001-02-01,29.600000,31.875000,28.200001,30.500000,21.951532,90239600
2001-03-01,30.500000,31.200001,26.275000,29.245001,21.048281,89061200
2001-04-01,29.225000,30.150000,26.740000,29.475000,21.213816,82708200
2001-05-01,29.500000,29.875000,25.790001,27.450001,19.776413,126139600
2001-06-01,27.375000,28.475000,18.125000,19.299999,13.904727,203665000
2001-07-01,19.125000,20.520000,17.975000,18.004999,12.971742,156735000
2001-08-01,17.375000,19.075001,17.375000,18.055000,13.026659,134144600
2001-09-01,18.059999,19.405001,15.230000,16.600000,11.976878,123777200
2001-10-01,16.650000,17.275000,11.500000,11.950000,8.621910,188575200
2001-11-01,11.950000,13.975000,11.445000,13.475000,9.739522,184668400
2001-12-01,13.425000,15.240000,12.500000,14.800000,10.697211,108084400
2002-01-01,14.925000,15.095000,12.900000,13.600000,9.829869,90584200
2002-02-01,13.500000,14.485000,12.790000,13.660000,9.893727,86064600
2002-03-01,13.700000,17.775000,13.700000,17.165001,12.432346,114633000
2002-04-01,17.200001,17.850000,15.840000,16.740000,12.124526,81966400
2002-05-01,16.639999,17.825001,15.930000,16.014999,11.618989,75268400
