DATE,INDPRO
1985-01-01,54.6505
1985-02-01,54.8169
1985-03-01,54.8978
1985-04-01,54.7833
1985-05-01,54.8704
1985-06-01,54.8401
1985-07-01,54.5582
1985-08-01,54.7381
1985-09-01,54.9416
1985-10-01,54.7538
1985-11-01,54.9390
1985-12-01,55.4945
1986-01-01,55.7802
1986-02-01,55.3994
1986-03-01,55.0001
1986-04-01,55.0641
1986-05-01,55.1705
1986-06-01,54.9588
1986-07-01,55.2944
1986-08-01,55.2029
1986-09-01,55.3511
1986-10-01,55.5857
1986-11-01,55.8030
1986-12-01,56.3441
1987-01-01,56.1259
1987-02-01,56.8779
1987-03-01,56.9516
1987-04-01,57.3177
1987-05-01,57.6774
1987-06-01,57.9875
1987-07-01,58.3790
1987-08-01,58.8171
1987-09-01,59.0391
1987-10-01,59.8340
1987-11-01,60.1367
1987-12-01,60.4739
1988-01-01,60.4594
1988-02-01,60.7643
1988-03-01,60.8948
1988-04-01,61.2475
1988-05-01,61.1353
1988-06-01,61.2995
1988-07-01,61.3110
1988-08-01,61.6234
1988-09-01,61.4255
1988-10-01,61.6940
1988-11-01,61.8494
1988-12-01,62.1171
1989-01-01,62.3103
1989-02-01,62.0353
1989-03-01,62.1950
1989-04-01,62.1753
1989-05-01,61.8321
1989-06-01,61.8246
1989-07-01,61.2285
1989-08-01,61.8334
1989-09-01,61.6221
1989-10-01,61.5537
1989-11-01,61.7575
1989-12-01,62.1111
1990-01-01,61.7781
1990-02-01,62.3426
1990-03-01,62.6446
1990-04-01,62.5104
1990-05-01,62.6898
1990-06-01,62.8923
1990-07-01,62.7933
1990-08-01,63.0241
1990-09-01,63.0328
1990-10-01,62.6466
1990-11-01,61.8681
1990-12-01,61.4345
1991-01-01,61.2241
1991-02-01,60.7790
1991-03-01,60.4377
1991-04-01,60.5982
1991-05-01,61.2041
1991-06-01,61.6923
1991-07-01,61.8569
1991-08-01,61.8681
1991-09-01,62.3855
1991-10-01,62.3229
1991-11-01,62.2427
1991-12-01,61.9705
1992-01-01,61.6471
1992-02-01,62.0794
1992-03-01,62.5955
1992-04-01,63.0726
1992-05-01,63.2761
1992-06-01,63.3102
1992-07-01,63.8769
1992-08-01,63.5221
1992-09-01,63.7217
1992-10-01,64.1556
1992-11-01,64.4144
1992-12-01,64.5161
1993-01-01,64.7738
1993-02-01,65.0805
1993-03-01,65.0176
1993-04-01,65.2041
1993-05-01,64.9433
1993-06-01,65.0984
1993-07-01,65.2554
1993-08-01,65.1946
1993-09-01,65.5282
1993-10-01,66.0152
1993-11-01,66.3292
1993-12-01,66.7038
1994-01-01,66.9164
1994-02-01,66.9642
1994-03-01,67.6335
1994-04-01,68.0334
1994-05-01,68.3531
1994-06-01,68.8002
1994-07-01,68.8863
1994-08-01,69.3412
1994-09-01,69.5574
1994-10-01,70.1190
1994-11-01,70.5942
1994-12-01,71.2814
1995-01-01,71.4303
1995-02-01,71.3343
1995-03-01,71.4451
1995-04-01,71.3289
1995-05-01,71.6600
1995-06-01,71.8967
1995-07-01,71.5924
1995-08-01,72.5339
1995-09-01,72.8247
1995-10-01,72.7130
1995-11-01,72.8884
1995-12-01,73.1429
1996-01-01,72.7471
1996-02-01,73.7871
1996-03-01,73.6749
1996-04-01,74.4153
1996-05-01,74.9718
1996-06-01,75.5317
1996-07-01,75.5323
1996-08-01,75.9129
1996-09-01,76.4032
1996-10-01,76.3931
1996-11-01,77.0672
1996-12-01,77.5543
1997-01-01,77.6945
1997-02-01,78.6120
1997-03-01,79.1021
1997-04-01,79.1683
1997-05-01,79.6084
1997-06-01,79.9802
1997-07-01,80.6492
1997-08-01,81.4548
1997-09-01,82.2120
1997-10-01,82.9309
1997-11-01,83.5919
1997-12-01,83.9696
1998-01-01,84.3467
1998-02-01,84.4865
1998-03-01,84.5212
1998-04-01,84.8275
1998-05-01,85.3596
1998-06-01,84.8466
1998-07-01,84.5061
1998-08-01,86.2464
1998-09-01,86.1707
1998-10-01,86.7671
1998-11-01,86.6929
1998-12-01,87.0633
1999-01-01,87.4252
1999-02-01,87.9260
1999-03-01,88.1101
1999-04-01,88.3106
1999-05-01,88.8487
1999-06-01,88.7978
1999-07-01,89.3119
1999-08-01,89.7109
1999-09-01,89.3331
1999-10-01,90.4924
1999-11-01,90.9650
1999-12-01,91.6804
2000-01-01,91.6261
2000-02-01,91.9626
2000-03-01,92.3118
2000-04-01,92.8872
2000-05-01,93.1620
2000-06-01,93.2168
2000-07-01,93.0400
2000-08-01,92.7900
2000-09-01,93.1547
2000-10-01,92.8361
2000-11-01,92.8395
2000-12-01,92.5334
2001-01-01,92.0304
2001-02-01,91.4079
2001-03-01,91.1751
2001-04-01,90.8767
2001-05-01,90.3750
2001-06-01,89.8626
2001-07-01,89.3288
2001-08-01,89.2201
2001-09-01,88.7478
2001-10-01,88.4755
2001-11-01,87.9631
2001-12-01,87.9329
2002-01-01,88.5452
2002-02-01,88.5362
2002-03-01,89.2097
2002-04-01,89.6389
2002-05-01,90.0271
2002-06-01,90.7645
2002-07-01,90.7437
2002-08-01,90.6268
2002-09-01,90.7241
2002-10-01,90.4879
2002-11-01,90.9823
2002-12-01,90.4919
2003-01-01,91.2395
2003-02-01,91.3384
2003-03-01,91.0690
2003-04-01,90.4913
2003-05-01,90.4697
2003-06-01,90.5899
2003-07-01,91.0614
2003-08-01,90.8452
2003-09-01,91.4453
2003-10-01,91.5595
2003-11-01,92.1763
2003-12-01,92.2532
2004-01-01,92.4067
2004-02-01,92.9687
2004-03-01,92.6000
2004-04-01,92.9761
2004-05-01,93.6446
2004-06-01,92.9303
2004-07-01,93.6109
2004-08-01,93.6958
2004-09-01,93.7958
2004-10-01,94.6226
2004-11-01,94.8491
2004-12-01,95.5841
2005-01-01,95.9285
2005-02-01,96.6287
2005-03-01,96.4907
2005-04-01,96.6809
2005-05-01,96.7925
2005-06-01,97.1900
2005-07-01,96.8981
2005-08-01,97.2223
2005-09-01,95.3463
2005-10-01,96.4981
2005-11-01,97.5646
2005-12-01,98.0222
2006-01-01,98.2044
2006-02-01,98.2404
2006-03-01,98.4742
2006-04-01,98.7765
2006-05-01,98.7884
2006-06-01,99.1069
2006-07-01,99.0357
2006-08-01,99.4583
2006-09-01,99.2544
2006-10-01,99.1514
