Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,16133.889648,16526.599609,16133.889648,16475.250000,16475.250000,5077180000
2021-12-03,16475.250000,16552.519531,16219.860352,16347.870117,16347.870117,5240070000
2021-12-06,16347.870117,16664.300781,16347.870117,16591.970703,16591.970703,4770800000
2021-12-07,16591.970703,16918.730469,16591.970703,16853.570313,16853.570313,4492400000
2021-12-08,16853.570313,16923.740234,16838.769531,16899.919922,16899.919922,4234600000
2021-12-09,16899.919922,16899.919922,16780.410156,16780.470703,16780.470703,3903840000
2021-12-10,16780.470703,16888.580078,16762.939453,16856.630859,16856.630859,3870110000
2021-12-13,16856.630859,16856.630859,16691.160156,16719.570313,16719.570313,4397230000
2021-12-14,16719.570313,16768.490234,16609.689453,16652.580078,16652.580078,4485430000
2021-12-15,16652.580078,16822.699219,16567.189453,16813.570313,16813.570313,4910130000
2021-12-16,16813.570313,16985.080078,16790.720703,16849.089844,16849.089844,4829500000
2021-12-17,16849.089844,16849.089844,16626.539063,16668.640625,16668.640625,7987090000
2021-12-20,16668.640625,16668.640625,16310.570313,16442.310547,16442.310547,4635700000
2021-12-21,16442.310547,16753.980469,16442.310547,16744.269531,16744.269531,4072430000
2021-12-22,16744.269531,16879.220703,16717.619141,16874.880859,16874.880859,3319610000
2021-12-23,16874.880859,17011.480469,16874.880859,16963.439453,16963.439453,2913040000
2021-12-27,16963.439453,17141.830078,16963.439453,17141.089844,17141.089844,2770290000
2021-12-28,17141.089844,17217.369141,17111.730469,17134.160156,17134.160156,2707920000
2021-12-29,17134.160156,17181.699219,17107.750000,17149.929688,17149.929688,2963310000
2021-12-30,17149.929688,17238.650391,17149.929688,17164.240234,17164.240234,3124950000
2021-12-31,17164.240234,17226.419922,17145.980469,17164.130859,17164.130859,2677820000
2022-01-03,17164.130859,17230.990234,17119.990234,17226.099609,17226.099609,3831020000
2022-01-04,17226.099609,17377.429688,17226.099609,17336.759766,17336.759766,4683170000
2022-01-05,17336.759766,17415.609375,17111.970703,17112.599609,17112.599609,4887960000
2022-01-06,17112.599609,17240.390625,17048.960938,17156.519531,17156.519531,4295280000
2022-01-07,17156.519531,17222.900391,17107.330078,17166.279297,17166.279297,4181510000
2022-01-10,17166.279297,17166.279297,16894.910156,17119.560547,17119.560547,4511810000
2022-01-11,17119.560547,17298.009766,17053.039063,17294.539063,17294.539063,4101590000
2022-01-12,17294.539063,17406.160156,17273.810547,17353.759766,17353.759766,4048220000
2022-01-13,17353.759766,17442.539063,17230.119141,17259.019531,17259.019531,4251730000
2022-01-14,17259.019531,17259.019531,17056.669922,17219.060547,17219.060547,4338490000
2022-01-18,17219.060547,17219.060547,16895.330078,16950.910156,16950.910156,4748700000
2022-01-19,16950.910156,17059.189453,16814.810547,16818.980469,16818.980469,4465740000
2022-01-20,16818.980469,17045.259766,16648.779297,16663.769531,16663.769531,4640870000
2022-01-21,16663.769531,16683.390625,16362.990234,16397.339844,16397.339844,5589100000
2022-01-24,16397.339844,16439.390625,15816.089844,16413.970703,16413.970703,6928110000
2022-01-25,16413.970703,16484.880859,16000.570313,16340.320313,16340.320313,5145050000
2022-01-26,16340.320313,16598.160156,16113.030273,16236.509766,16236.509766,5570640000
2022-01-27,16236.509766,16502.269531,16090.690430,16152.120117,16152.120117,5214200000
2022-01-28,16152.120117,16400.009766,15998.690430,16397.859375,16397.859375,5031090000
2022-01-31,16397.859375,16663.849609,16344.660156,16659.769531,16659.769531,5098610000
2022-02-01,16659.769531,16840.560547,16606.160156,16829.720703,16829.720703,4816830000
2022-02-02,16829.720703,16926.189453,16763.050781,16904.519531,16904.519531,4481580000
2022-02-03,16904.519531,16904.519531,16661.599609,16677.390625,16677.390625,4401970000
2022-02-04,16677.390625,16817.269531,16552.369141,16701.580078,16701.580078,4706290000
2022-02-07,16701.580078,16826.710938,16684.900391,16722.759766,16722.759766,4228480000
2022-02-08,16722.759766,16880.330078,16685.230469,16853.710938,16853.710938,4459620000
2022-02-09,16853.710938,17083.359375,16853.710938,17069.660156,17069.660156,4524350000
2022-02-10,17069.660156,17160.330078,16790.759766,16855.960938,16855.960938,5314860000
2022-02-11,16855.960938,16969.650391,16600.289063,16664.990234,16664.990234,5251500000
2022-02-14,16664.990234,16664.990234,16422.560547,16531.310547,16531.310547,4600390000
2022-02-15,16531.310547,16757.429688,16531.310547,16745.830078,16745.830078,4430830000
2022-02-16,16745.830078,16813.009766,16658.320313,16770.359375,16770.359375,4283640000
2022-02-17,16770.359375,16770.359375,16462.150391,16492.050781,16492.050781,4539420000
2022-02-18,16492.050781,16560.119141,16333.509766,16392.320313,16392.320313,4708060000
2022-02-22,16392.320313,16406.470703,16099.019531,16215.620117,16215.620117,5121900000
2022-02-23,16215.620117,16358.849609,15998.330078,16019.580078,16019.580078,4797430000
2022-02-24,16019.580078,16020.049805,15571.349609,15995.990234,15995.990234,6752130000
2022-02-25,15995.990234,16432.789063,15995.990234,16427.960938,16427.960938,5177060000
2022-02-28,16427.960938,16427.960938,16136.969727,16313.889648,16313.889648,6071370000
2022-03-01,16313.889648,16351.299805,15986.059570,16069.160156,16069.160156,5846230000
2022-03-02,16069.160156,16435.000000,16069.160156,16380.910156,16380.910156,5337870000
2022-03-03,16380.910156,16434.869141,16185.309570,16287.490234,16287.490234,5039890000
2022-03-04,16287.490234,16287.490234,15954.190430,16129.660156,16129.660156,5797380000
2022-03-07,16129.660156,16129.660156,15704.190430,15708.230469,15708.230469,6940470000
2022-03-08,15708.230469,15948.959961,15621.759766,15625.929688,15625.929688,7243120000
2022-03-09,15625.929688,16054.780273,15625.929688,15977.540039,15977.540039,5662670000
2022-03-10,15977.540039,15977.540039,15761.929688,15929.559570,15929.559570,4980830000
2022-03-11,15929.559570,16028.200195,15747.559570,15753.700195,15753.700195,4938640000
2022-03-14,15753.700195,15917.929688,15635.769531,15694.349609,15694.349609,5574920000
2022-03-15,15694.349609,15914.929688,15694.349609,15895.669922,15895.669922,5392470000
2022-03-16,15895.669922,16262.549805,15895.669922,16261.500000,16261.500000,6309750000
2022-03-17,16261.500000,16483.669922,16212.570313,16483.580078,16483.580078,4985090000
2022-03-18,16483.580078,16615.960938,16412.500000,16612.640625,16612.640625,8278430000
2022-03-21,16612.640625,16694.679688,16514.990234,16606.669922,16606.669922,4869820000
2022-03-22,16606.669922,16768.669922,16606.669922,16735.480469,16735.480469,4754840000
2022-03-23,16735.480469,16735.480469,16557.580078,16558.529297,16558.529297,4550670000
2022-03-24,16558.529297,16702.230469,16558.529297,16701.820313,16701.820313,4131390000
2022-03-25,16701.820313,16794.179688,16669.789063,16792.800781,16792.800781,4305020000
2022-03-28,16792.800781,16798.720703,16640.140625,16798.720703,16798.720703,4312260000
2022-03-29,16798.720703,17034.910156,16798.720703,17014.759766,17014.759766,5085910000
2022-03-30,17014.759766,17031.650391,16858.710938,16932.759766,16932.759766,4385570000
2022-03-31,16932.759766,16932.759766,16670.849609,16670.910156,16670.910156,4823020000
2022-04-01,16670.910156,16797.640625,16652.689453,16787.750000,16787.750000,4562940000
2022-04-04,16787.750000,16841.619141,16735.880859,16829.750000,16829.750000,4547350000
2022-04-05,16830.939453,16889.380859,16612.589844,16645.050781,16645.050781,4800620000
2022-04-06,16645.050781,16645.050781,16472.669922,16587.099609,16587.099609,4986830000
2022-04-07,16587.099609,16690.400391,16449.769531,16631.449219,16631.449219,4821490000
